Saque R$ 30.0 2022-01-31T23:12:21.186543408
Depósito R$ 23.0 2022-01-31T23:13:47.909433033
Saque R$ 50.0 2022-01-31T23:15:31.443847154
Depósito R$ 18.0 2022-01-31T23:18:15.501020019
Transferência R$ 5.0 Destino 79600815062 2022-01-31T23:18:52.972102249
Depósito R$ 2.5 2022-01-31T23:20:29.968652707
Transferência R$ 0.5 Destino 10254530001 2022-01-31T23:20:54.693381559
Criada conta do CPF 61697557090 2022-01-31T23:23:34.922606199
Criada conta do CPF 35139241005 2022-01-31T23:26:20.576872850
Depósito R$ 12.0 2022-01-31T23:26:52.909055016
Saque R$ 0.14 2022-01-31T23:28:31.674054917
